,member,URL
143,"Schweizerische Mobiliar Asset Management AG, Bern",http://www.mobi.ch/
144,"Schwyzer Kantonalbank, Schwyz",https://www.szkb.ch/
145,"SG Value Partners AG, Zurich",https://www.sgvaluepartners.ch/
146,"SIA Funds AG, Lachen",http://www.s-i-a.ch/
147,"SimCorp Schweiz AG, Zurich",http://www.simcorp.com/
148,"SIX Group AG, Zurich",http://www.six-group.com/
149,"Société Générale Paris, Zweigniederlassung Zürich, Zurich",http://www.sg-securities-services.com/
150,"Société pour la gestion de placements collectifs GEP S.A., Lausanne",http://www.gep.ch/
151,"Solutions & Funds SA, Morges",http://www.solutionsandfunds.com/
152,"State Street Bank International GmbH, Munich, Zurich Branch, Zurich",http://http//www.statestreet.com/about/office-locations/switzerland.html
153,"Suter Howald Rechtsanwälte, Zurich",http://www.suterhowald.ch/
154,"SWA Swiss Auditors AG, Pfäffikon",https://www.swa-audit.ch/
155,"Swiss Capital Alternative Investments AG, Zurich",http://www.swisscap.com/
156,"Swiss Finance & Property Funds AG, Zurich",http://www.sfp.ch/
157,"Swiss Life Asset Management AG, Zurich",http://www.swisslife-am.com/
158,"Swiss Re Insurance Linked Investment Management AG, Zurich",https://www.swissre.com/
159,"Swissquote Bank AG, Gland",http://www.swissquote.ch/
160,"Symbiotics SA, Geneva",http://www.symbioticsgroup.com/
161,"T. Rowe Price (Switzerland) GmbH, Zurich",http://www.troweprice.com/
162,"Tax Partner AG, Zurich",http://www.taxpartner.ch/
163,"Threadneedle Portfolio Services AG, Zurich",http://www.columbiathreadneedle.com/
164,"Twelve Capital AG, Zurich",http://www.twelvecapital.com/
165,"UBS Asset Management Switzerland AG, Zürich",https://www.ubs.com/
166,"UBS Fund Management (Switzerland) AG, Basel",http://www.ubs.com/fms
167,"Unigestion SA, Geneva",http://www.unigestion.com/
168,"Union Bancaire Privée, UBP SA, Geneva",http://www.ubp.com/
169,"Valiant Holding AG, Bern",http://www.valiant.ch/
170,"Vanguard Investments Switzerland GmbH, Zurich",http://www.vanguard.ch/
171,"VERIT Investment Management AG, Zurich",http://www.verit-investment-management.ch/
172,"VISCHER AG, Basel",http://www.vischer.com/
173,"Vontobel Fonds Services AG, Zurich",http://www.vontobel.com/
174,"Walder Wyss AG, Zurich",http://www.walderwyss.com/
175,"Wenger & Vieli AG, Zurich",https://www.wengervieli.ch/
176,"Zuger Kantonalbank, Zug",https://www.zugerkb.ch/
177,"Zürcher Kantonalbank, Zürich",https://www.zkb.ch/assetmanagement
178,"Zurich Invest AG, Zurich",http://www.zurichinvest.ch/
179,"ZZ Vermögensberatung (Schweiz) AG, Vitznau",https://www.linkedin.com/company/zz-vermoegensberatung-schweiz-ag/about/
